stem_id,corpus,has_reference,audio_source
-15MmJrqU38,globalmood,False,https://www.youtube.com/watch?v=-15MmJrqU38
-4sq1sUI7-I,globalmood,False,https://www.youtube.com/watch?v=-4sq1sUI7-I
-E5lmFh_0x0,globalmood,False,https://www.youtube.com/watch?v=-E5lmFh_0x0
-Gvgb3K5iOE,globalmood,False,https://www.youtube.com/watch?v=-Gvgb3K5iOE
-rT_0DJQygY,globalmood,False,https://www.youtube.com/watch?v=-rT_0DJQygY
0FfElnIC8mM,globalmood,False,https://www.youtube.com/watch?v=0FfElnIC8mM
0m0w1wEReOI,globalmood,False,https://www.youtube.com/watch?v=0m0w1wEReOI
18fkHq5tbmQ,globalmood,False,https://www.youtube.com/watch?v=18fkHq5tbmQ
1ec5zdJPbnU,globalmood,False,https://www.youtube.com/watch?v=1ec5zdJPbnU
1uldbfT264k,globalmood,False,https://www.youtube.com/watch?v=1uldbfT264k
28JvbWHN6w0,globalmood,False,https://www.youtube.com/watch?v=28JvbWHN6w0
2SeNCoP6Zy8,globalmood,False,https://www.youtube.com/watch?v=2SeNCoP6Zy8
30zfbFdeY7g,globalmood,False,https://www.youtube.com/watch?v=30zfbFdeY7g
3NqMmAYSrJw,globalmood,False,https://www.youtube.com/watch?v=3NqMmAYSrJw
3OByv5luEjc,globalmood,False,https://www.youtube.com/watch?v=3OByv5luEjc
3QuyNWZoKgk,globalmood,False,https://www.youtube.com/watch?v=3QuyNWZoKgk
3WqrNqX1lsI,globalmood,False,https://www.youtube.com/watch?v=3WqrNqX1lsI
3jmQ3-LNeAU,globalmood,False,https://www.youtube.com/watch?v=3jmQ3-LNeAU
44j8lJU2dqM,globalmood,False,https://www.youtube.com/watch?v=44j8lJU2dqM
4VKiwmQJ4Lo,globalmood,False,https://www.youtube.com/watch?v=4VKiwmQJ4Lo
4XIvB4rPehs,globalmood,False,https://www.youtube.com/watch?v=4XIvB4rPehs
4liY0E7XBTw,globalmood,False,https://www.youtube.com/watch?v=4liY0E7XBTw
4nbBTmGOusA,globalmood,False,https://www.youtube.com/watch?v=4nbBTmGOusA
55W2LxbQoHc,globalmood,False,https://www.youtube.com/watch?v=55W2LxbQoHc
5Fj-VIslrFc,globalmood,False,https://www.youtube.com/watch?v=5Fj-VIslrFc
5bF0V6bAwjc,globalmood,False,https://www.youtube.com/watch?v=5bF0V6bAwjc
5sIaUu2igUY,globalmood,False,https://www.youtube.com/watch?v=5sIaUu2igUY
6FQLjcGmOaU,globalmood,False,https://www.youtube.com/watch?v=6FQLjcGmOaU
6Rqy3BpSr_U,globalmood,False,https://www.youtube.com/watch?v=6Rqy3BpSr_U
6c8RiGGHEYY,globalmood,False,https://www.youtube.com/watch?v=6c8RiGGHEYY
6gPAjNCyHB8,globalmood,False,https://www.youtube.com/watch?v=6gPAjNCyHB8
6tniJKkjVv0,globalmood,False,https://www.youtube.com/watch?v=6tniJKkjVv0
7976yzHXBJc,globalmood,False,https://www.youtube.com/watch?v=7976yzHXBJc
7VuqbMbgLHk,globalmood,False,https://www.youtube.com/watch?v=7VuqbMbgLHk
8W1ij30ACGg,globalmood,False,https://www.youtube.com/watch?v=8W1ij30ACGg
94LD5nwivVs,globalmood,False,https://www.youtube.com/watch?v=94LD5nwivVs
98s7mqb_II0,globalmood,False,https://www.youtube.com/watch?v=98s7mqb_II0
9f8xPaRWAbg,globalmood,False,https://www.youtube.com/watch?v=9f8xPaRWAbg
9hODzWIY7Hc,globalmood,False,https://www.youtube.com/watch?v=9hODzWIY7Hc
9tP_cphjz3E,globalmood,False,https://www.youtube.com/watch?v=9tP_cphjz3E
