stimulus_id,peak_index,peak_time_s,window_t0,window_t1,kw_ms,kde_dt,peak_prominence,peak_distance_s,peak_width_s,cleaning
0001_12step,0,0.845,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,1,1.325,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,2,1.845,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,3,2.3850000000000002,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,4,2.9,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,5,3.4250000000000003,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,6,3.95,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,7,4.48,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,8,5.0200000000000005,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,9,5.5600000000000005,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,10,6.08,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,11,6.6000000000000005,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,12,7.140000000000001,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,13,7.6850000000000005,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,14,8.215,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,15,8.74,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,16,9.26,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,17,9.790000000000001,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,18,10.335,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,19,10.870000000000001,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,20,11.4,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,21,11.91,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,22,12.445,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,23,12.98,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,24,13.505,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,25,14.05,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,26,14.59,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,27,15.115,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,28,15.65,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,29,16.185,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,30,16.715,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,31,17.245,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,32,17.78,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,33,18.31,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,34,18.855,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,35,19.375,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,36,19.89,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,37,20.43,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,38,20.96,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,39,21.495,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,40,22.03,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,41,22.545,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,42,23.075,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,43,23.605,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,44,24.135,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,45,24.675,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,46,25.2,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,47,25.73,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,48,26.265,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,49,26.795,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,50,27.325,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,51,27.855,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,52,28.39,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,53,28.925,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0001_12step,54,29.455000000000002,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
0003_6foot7foot,0,2.0,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
